x	y	kxx	kxy	kyy
513.672	369.184	0.00630817	-0.000472355	0.00607098
635.042	367.752	0.00628823	-0.000152994	0.00574568
759.629	368.47	0.00634378	8.21164e-05	0.00574741
883.714	371.42	0.00626328	0.000276684	0.00600372
505.97	488.415	0.00579621	-0.000227813	0.00594952
630.551	488.647	0.00603714	-5.75859e-05	0.00580008
758.705	489.868	0.00597224	5.08247e-05	0.00590171
886.382	492.142	0.00598469	0.000228125	0.00597854
500.137	613.988	0.00579676	-0.000142803	0.00611017
626.911	616.242	0.0056324	5.05799e-06	0.00588672
757.472	618.125	0.00569078	2.60065e-05	0.00584266
887.531	619.553	0.00571307	3.00598e-05	0.00618474
506.482	545.569	0.00793553	-0.000411085	0.00542373
635.026	547.529	0.0077223	-8.16338e-05	0.00512679
765.417	550.121	0.00787538	0.000293501	0.00548956
893.194	553.09	0.00822805	0.000653516	0.00557032
490.722	653.206	0.00663061	-0.000400099	0.0052623
629.34	656.442	0.006757	-6.80215e-05	0.00517992
770.116	658.788	0.00674624	0.000238249	0.00520475
907.731	660.122	0.0070967	0.000549194	0.00559883
474.787	777.2	0.00583497	-0.000251586	0.00505998
623.623	782.224	0.00587245	-0.00010345	0.00503023
775.266	784.258	0.00615074	0.000104753	0.00520659
922.898	783.279	0.00631666	0.000297267	0.00550719
104.574	531.323	0.00570724	0.000254996	0.00490774
251.189	542.485	0.00625135	0.000697544	0.00530113
389.471	553.078	0.0068557	0.00120547	0.0058178
515.283	562.84	0.00710263	0.00171872	0.00654709
108.905	674.731	0.00485291	0.000316235	0.00487415
268.474	679.415	0.00525242	0.000535357	0.00506514
417.278	682.077	0.00579817	0.000935448	0.00551277
550.469	683.16	0.00629689	0.00131398	0.00614857
124.242	841.437	0.0045154	0.000424647	0.00475252
295.677	836.726	0.00487679	0.000584591	0.00482397
453.52	828.14	0.0052018	0.000808817	0.00541631
592.383	817.39	0.00561154	0.00102042	0.00607077
917.567	533.488	0.00868165	-0.00130643	0.00641097
1026.62	543.644	0.00805523	-0.000965621	0.00617849
1144.91	555.537	0.00751711	-0.000493217	0.00606288
1269.84	568.945	0.0069845	-0.000107473	0.0057737
874.126	633.076	0.007367	-0.00121176	0.00648576
987.203	649.999	0.00687433	-0.000822628	0.00593336
1111.54	668.445	0.00681436	-0.000549058	0.00582995
1244.21	687.82	0.00622929	-0.000331354	0.00579085
824.854	742.311	0.00683344	-0.00114663	0.00660364
940.851	767.701	0.00636737	-0.000699721	0.00589564
1069.87	794.412	0.00595169	-0.000568494	0.0057682
1209.13	821.429	0.0058395	-0.00046492	0.00569062
906.638	386.608	0.00650801	-0.00165267	0.0104642
992.769	372.054	0.00616538	-0.00118296	0.00894596
1092.32	356.503	0.00592912	-0.000823816	0.00759776
1205.95	340.235	0.00568467	-0.000506261	0.00689239
893.632	497.756	0.00600395	-0.0011622	0.0101167
981.148	492.265	0.00588052	-0.000880349	0.00880378
1083.03	486.318	0.00570179	-0.000631034	0.00779194
1200.45	480.29	0.00528574	-0.000433952	0.00691343
878.604	613.624	0.00571254	-0.000795107	0.0102506
966.254	618.318	0.00561991	-0.000588772	0.00881297
1068.95	623.634	0.00524878	-0.000432913	0.00777584
1187.94	629.578	0.005128	-0.00033983	0.00705957
145.577	306.876	0.00494168	4.95323e-05	0.00509653
285.166	311.001	0.00517784	0.000307229	0.00535951
412.322	317.706	0.0054259	0.00061359	0.00614525
525.039	326.025	0.00575852	0.000906365	0.00705208
151.861	462.023	0.00452137	0.000142512	0.00523279
296.388	456.654	0.00480207	0.000265807	0.00552443
427.19	453.513	0.00510386	0.000466462	0.00617762
542.228	452.067	0.00549076	0.000775216	0.0071208
168.413	627.984	0.0044155	0.000119154	0.00530801
314.9	611.606	0.00471899	0.000200773	0.00561616
446.862	597.12	0.0049922	0.000297484	0.00637124
562.249	584.524	0.00533995	0.000444516	0.00744325
501.037	130.426	0.00682799	0.000183474	0.00640107
620.402	130.506	0.00678647	9.04672e-05	0.006008
742.08	134.908	0.00708873	2.39828e-05	0.00630158
862.543	143.501	0.00709222	1.38599e-05	0.00619974
505.931	235.527	0.00724075	7.63436e-05	0.00662431
619.399	236.756	0.00742471	0.000153244	0.00630678
734.907	241	0.00786208	0.000185514	0.00638352
849.553	248.229	0.00774025	-0.000143008	0.00642015
511.689	332.436	0.00815457	0.000369759	0.00657961
619.242	334.59	0.00813376	0.000173133	0.00672345
728.552	338.701	0.00867078	-1.16259e-06	0.00665566
837.066	344.704	0.00904392	-0.000199373	0.0068287
309.289	113.384	0.00574213	-0.00103725	0.00578201
421.969	147.977	0.00604118	-0.00135828	0.00652935
518.561	180.143	0.0068168	-0.00154407	0.00758565
600.456	209.161	0.0074423	-0.0021722	0.00893003
